City_ID,City,Country,Max Temp,Current Description,Latitudes,Longitudes,Hotel Name
202,Qiongshan,CN,60.78,clear sky,20.0058,110.3542,Sun City Restaurant
203,Zile,TR,34.92,clear sky,40.3031,35.8864,Zile Öğretmen evi
204,Huazhou,CN,52.77,scattered clouds,21.6333,110.5833,Feilong Hotel
205,Sao Filipe,CV,75.49,broken clouds,14.8961,-24.4956,Hotel Xaguate
206,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
207,Banepa,NP,52.12,few clouds,27.6298,85.5214,Dhulikhel Lodge Resort
208,Najran,SA,52.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
209,San Angelo,US,75.33,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
210,Bonavista,CA,33.12,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
213,Severo-Kurilsk,RU,31.68,overcast clouds,50.6789,156.125,Kak Doma
214,Iralaya,HN,78.31,few clouds,15.0,-83.2333,Iglesia morava renovada
215,San Patricio,US,79.21,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
216,Krumbach,DE,34.57,broken clouds,48.2418,10.3632,Hotel Diem Krumbach
219,Matara,LK,75.33,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
220,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
222,Rocha,UY,61.07,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
223,Banda Aceh,ID,76.87,overcast clouds,5.5577,95.3222,Sulthan Hotel International
224,Sitka,US,35.49,light snow,57.0531,-135.33,Westmark Sitka
225,Ancud,CL,71.13,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
226,Sonoita,MX,75.52,clear sky,31.85,-112.8333,Hotel Nora
227,Yarada,IN,77.32,mist,17.65,83.2667,Vishranti
228,Billings,US,26.92,light snow,45.7833,-108.5007,Best Western Plus Clocktower Inn
230,Laguna,US,67.64,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
231,Manicore,BR,75.31,broken clouds,-5.8092,-61.3003,Hotel Durval
232,Aswan,EG,60.1,clear sky,24.0934,32.907,Nuba Nile
233,Sulangan,PH,80.49,broken clouds,11.1373,123.7228,Maia's Beach Resort
234,Ribeira Grande,PT,63.93,broken clouds,38.5167,-28.7,Quinta da Meia Eira
235,Bredasdorp,ZA,59.29,light rain,-34.5322,20.0403,Bredasdorp Country Manor
236,Caravelas,BR,74.43,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
237,Kavaratti,IN,80.69,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
238,Ilulissat,GL,30.22,broken clouds,69.2167,-51.1,Hotel Arctic
239,Hamilton,US,61.0,heavy intensity rain,39.1834,-84.5333,Six Acres Bed & Breakfast
240,Sunrise Manor,US,78.44,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
242,Port Lincoln,AU,64.36,clear sky,-34.7333,135.8667,Port Lincoln Hotel
243,Cuenca,EC,62.73,light rain,-2.8833,-78.9833,Hotel Cuenca
244,Kahului,US,73.85,moderate rain,20.8947,-156.47,Maui Seaside Hotel
245,Rio Cuarto,AR,64.17,overcast clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
247,Naron,ES,53.6,overcast clouds,43.5167,-8.1528,Marcial
250,Codrington,AU,70.02,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
251,Hasaki,JP,46.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
252,Biak,ID,77.49,overcast clouds,-0.9131,122.8766,Penginapan Kim
255,Kathu,TH,73.22,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
256,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
259,Castro Marim,PT,53.58,clear sky,37.2207,-7.4435,Parador de Ayamonte
260,Guararapes,BR,79.07,few clouds,-21.2608,-50.6428,Hotel Nacional Business
261,Berlevag,NO,28.4,broken clouds,70.8578,29.0864,Kvitbrakka
262,Kuching,MY,73.62,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
263,Rajec,SK,34.18,light snow,49.089,18.6401,Apartmány Rajecká dolina
265,Rangapara,IN,63.37,broken clouds,26.8167,92.65,Bidhan
268,Wakkanai,JP,44.64,overcast clouds,45.4094,141.6739,Hyōsetsu-sō
271,Nagua,DO,78.85,scattered clouds,19.3832,-69.8474,Hotel Cambri
272,Vao,NC,76.24,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
273,Hirado,JP,46.38,overcast clouds,33.3597,129.5531,Samson Hotel
276,Nouadhibou,MR,70.39,scattered clouds,20.931,-17.0347,El Medina
277,Wajir,KE,78.75,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
278,Brae,GB,40.91,broken clouds,60.3964,-1.353,Busta House Hotel
279,Cidreira,BR,69.64,scattered clouds,-30.1811,-50.2056,Hotel Castelo
281,Superior,US,30.49,snow,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
283,Kindu,CD,69.98,overcast clouds,-2.95,25.95,Résidence Okanda
284,Zhuravka,UA,30.79,overcast clouds,50.4811,32.5949,"База відпочинку ""Сокільне"""
285,Portland,US,48.2,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
286,Santiago Del Estero,AR,82.8,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
287,Shakawe,BW,72.36,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
288,Palmer,US,38.8,broken clouds,42.1584,-72.3287,Wedgewood Motel
289,Vredendal,ZA,61.84,few clouds,-31.6683,18.5012,Tharrakamma Guest House
290,Bar Harbor,US,31.91,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
292,Bubaque,GW,81.54,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
293,Geraldton,AU,74.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
294,El Dorado,US,73.17,broken clouds,38.7666,-120.5177,South Fork Group Campground
295,Margate,GB,41.97,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
296,San Policarpo,PH,79.43,broken clouds,12.1791,125.5072,Agapita M. Nicart
297,Rio Gallegos,AR,60.85,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
298,Balabag,PH,79.03,broken clouds,11.97,121.9192,Astoria Boracay
299,Bryan,US,76.89,scattered clouds,30.6744,-96.37,Best Western Premier Bryan College Station
300,Shimoda,JP,52.16,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
301,Coquimbo,CL,58.73,broken clouds,-29.9533,-71.3436,Punto de encuentro
303,Jasper,US,68.27,clear sky,37.2001,-94.3502,Guest House Motel
305,Amuntai,ID,73.92,overcast clouds,-2.4177,115.2494,Hotel Balqis
306,Mildura,AU,73.36,broken clouds,-34.2,142.15,Mercure Hotel Mildura
307,Paamiut,GL,25.16,light snow,61.994,-49.6678,Pistut
308,Japura,ID,72.25,light rain,-0.3167,102.35,Rumah mbah Jamah
309,Grand Gaube,MU,78.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
310,Guaruja,BR,80.17,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
311,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
312,Kikwit,CD,70.56,light rain,-5.041,18.8162,HOTEL PLACE YALABA
313,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
315,Corning,US,42.49,overcast clouds,42.1428,-77.0547,Fairfield Inn by Marriott Corning Riverside
316,Quang Ngai,VN,66.25,overcast clouds,15.1167,108.8,Central Hotel
317,Ibicarai,BR,75.18,clear sky,-14.865,-39.5875,Pousada Patioba
318,Grand-Lahou,CI,80.38,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
319,Liverpool,GB,39.18,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
320,Sorland,NO,26.83,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
321,Waddan,LY,52.3,clear sky,29.1614,16.139,محل الشريف محمد العايب
322,Namibe,AO,72.28,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
324,Lincoln,US,49.91,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
325,Guanica,PR,81.21,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
326,Blanes,ES,48.2,few clouds,41.6742,2.7904,Càmping La Masia
327,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
328,Sunggal,ID,75.18,scattered clouds,3.5765,98.6151,Four Points by Sheraton Medan
329,Terpinnya,UA,35.28,overcast clouds,46.9697,35.4197,Hotel Style Kharkiv
331,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
334,Hazorasp,UZ,28.24,few clouds,41.3194,61.0742,Kemping wifi hotel
335,Vanimo,PG,84.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
338,Salinopolis,BR,79.83,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
339,Port Elizabeth,ZA,65.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
340,Dingle,PH,73.22,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
342,Arrifes,PT,61.23,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
346,Cervo,ES,52.97,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
347,Presidencia Roque Saenz Pena,AR,82.76,clear sky,-26.7852,-60.4388,Hotel Aconcagua
348,Gladstone,AU,80.53,scattered clouds,-23.85,151.25,Highpoint International Hotel
351,Requena,ES,44.53,scattered clouds,39.4883,-1.1004,Hotel Avenida
352,Tual,ID,82.44,moderate rain,-5.6667,132.75,Grand Vilia Hotel
353,Hithadhoo,MV,81.27,overcast clouds,-0.6,73.0833,Scoop Guest House
354,Soma,TR,52.99,few clouds,39.1855,27.6094,Hotel Labella
355,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
356,Mahibadhoo,MV,82.17,scattered clouds,3.7833,72.9667,Omadhoo Inn
357,Shache,CN,29.34,overcast clouds,38.4167,77.2406,Delong Hotel
359,Keti Bandar,PK,72.7,clear sky,24.1447,67.4497,Haji laloo memon house
360,Voi,KE,71.26,overcast clouds,-3.3945,38.563,Voi Wildlife Lodge
361,Praia,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
362,Ishikari,JP,36.81,few clouds,43.2397,141.3539,ザ・吉岡
363,Mercedes,AR,73.02,clear sky,-34.6515,-59.4307,Posada del Inti Centro
365,Porto Walter,BR,72.66,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
366,Ambon,ID,82.54,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
367,Port Keats,AU,83.82,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
371,Virginia Beach,US,57.25,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
372,Ilam,NP,55.78,scattered clouds,26.9167,87.9167,चियाबारी कटेज
374,Vrangel,RU,39.34,broken clouds,42.7297,133.0839,"Отель ""БАЛИ"""
376,Sorong,ID,81.14,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
377,Maragogi,BR,77.31,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
378,Eslamshahr,IR,44.04,haze,35.5605,51.2346,چاپ روژان
379,Carndonagh,IE,39.78,light rain,55.25,-7.2667,Riversdale Country House
380,Mount Gambier,AU,68.22,broken clouds,-37.8333,140.7667,The Commodore
382,Buraydah,SA,62.67,few clouds,26.326,43.975,فندق راحة السلام
383,Hurricane,US,68.99,few clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
385,Moundou,TD,78.22,scattered clouds,8.5667,16.0833,Planete Life
387,Biloela,AU,77.65,scattered clouds,-24.4167,150.5,Biloela Silo Motor Inn
388,Perth,AU,67.08,clear sky,-31.9333,115.8333,Beatty Lodge
392,Vangaindrano,MG,74.59,light rain,-23.35,47.6,Hotel Fanilo
393,Bucerias,MX,82.38,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
394,Hammerfest,NO,28.85,few clouds,70.6634,23.6821,Skytterhuset
395,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
396,Amahai,ID,81.03,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
397,Sao Joao Da Barra,BR,75.6,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
398,Qinzhou,CN,53.55,clear sky,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
399,Bangalore,IN,66.02,overcast clouds,12.9762,77.6033,The Chancery Hotel
400,Ambilobe,MG,75.56,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
401,Yarmouth,US,43.97,clear sky,41.7057,-70.2286,Blue Rock Resort
402,Santa Cruz Cabralia,BR,77.23,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
403,Nantucket,US,43.02,clear sky,41.2835,-70.0995,Jared Coffin House
404,Ojinaga,MX,76.57,clear sky,29.5667,-104.4167,Suites Las Palmas
405,Aksu,CN,29.61,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
406,Santa Rosa,PH,74.86,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
407,Mampong,GH,75.13,scattered clouds,7.0627,-1.4001,Adom Upscale Hotel
411,Benghazi,LY,64.22,scattered clouds,32.1167,20.0667,Tibesti Hotel
414,Mancora,PE,74.61,overcast clouds,-4.1078,-81.0475,Máncora Marina Hotel
415,Jumla,NP,40.21,broken clouds,29.2747,82.1838,Royal Garden Hotel
416,Broken Hill,AU,77.86,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
