City_ID,City,Country,Latitudes,Longitudes,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
65,Antofagasta,CL,-23.65,-70.4,63.68,72,49,4.63,scattered clouds,0.0,0.0
66,Kaeo,NZ,-35.1,173.7833,77.32,77,41,8.61,scattered clouds,0.0,0.0
67,Puri,IN,19.8,85.85,72.37,89,100,9.91,overcast clouds,0.0,0.0
68,Mbandaka,CD,0.0487,18.2603,72.41,93,100,0.69,overcast clouds,0.0,0.0
69,Saskylakh,RU,71.9167,114.0833,-30.32,98,100,4.5,overcast clouds,0.0,0.0
70,Kondoa,TZ,-4.9,35.7833,61.72,87,75,4.68,broken clouds,0.0,0.0
71,Ulladulla,AU,-35.35,150.4667,67.08,59,100,4.25,overcast clouds,0.0,0.0
72,Avarua,CK,-21.2078,-159.775,82.45,78,20,8.05,moderate rain,1.05,0.0
73,Deputatskiy,RU,69.3,139.9,-24.68,97,100,2.91,overcast clouds,0.0,0.0
74,Srednekolymsk,RU,67.45,153.6833,-48.75,100,73,4.61,broken clouds,0.0,0.0
75,Gamba,GA,-2.65,10.0,78.66,88,100,4.74,light rain,0.52,0.0
76,Jamestown,US,42.097,-79.2353,44.33,37,90,13.0,overcast clouds,0.0,0.0
77,Toba,JP,34.4833,136.85,50.0,94,100,12.8,overcast clouds,0.0,0.0
78,Aguas Formosas,BR,-17.0822,-40.9358,70.14,94,32,3.29,scattered clouds,0.0,0.0
79,Casper,US,42.8666,-106.3131,19.72,81,90,7.0,light snow,0.0,0.42
80,Isangel,VU,-19.55,169.2667,84.31,74,75,5.75,broken clouds,0.0,0.0
81,Norman Wells,CA,65.282,-126.8329,-11.74,81,72,4.74,broken clouds,0.0,0.0
82,Cape Town,ZA,-33.9258,18.4232,61.27,90,75,1.99,moderate rain,1.52,0.0
83,Qaanaaq,GL,77.484,-69.3632,20.52,81,100,6.4,overcast clouds,0.0,0.0
84,Rio Esteban,HN,15.8333,-86.3,80.6,85,41,1.86,scattered clouds,0.0,0.0
85,Fonte Boa,BR,-2.4959,-66.2662,75.43,97,93,0.34,overcast clouds,0.0,0.0
86,Oskarshamn,SE,57.2645,16.4484,30.79,74,99,8.63,overcast clouds,0.0,0.0
87,Beringovskiy,RU,63.05,179.3167,6.84,81,100,35.99,overcast clouds,0.0,0.0
88,Cherskiy,RU,68.75,161.3,-46.23,100,86,4.12,overcast clouds,0.0,0.0
89,Upernavik,GL,72.7868,-56.1549,25.09,74,100,3.29,overcast clouds,0.0,0.0
90,Zhigansk,RU,66.7697,123.3711,-28.28,95,100,6.62,overcast clouds,0.0,0.0
91,Am Timan,TD,11.0297,20.2827,78.24,25,83,7.16,broken clouds,0.0,0.0
92,Erenhot,CN,43.6475,111.9767,21.09,81,3,2.21,clear sky,0.0,0.0
93,Porto Murtinho,BR,-21.6989,-57.8825,85.06,47,92,3.71,overcast clouds,0.0,0.0
94,Chipinge,ZW,-20.1883,32.6236,65.01,86,27,6.64,scattered clouds,0.0,0.0
95,Tuatapere,NZ,-46.1333,167.6833,54.82,51,84,6.85,broken clouds,0.0,0.0
96,East London,ZA,-33.0153,27.9116,68.79,94,100,4.61,overcast clouds,0.0,0.0
97,Palmas De Monte Alto,BR,-14.2672,-43.1619,72.88,79,53,3.62,broken clouds,0.0,0.0
98,San Antonio,US,29.4241,-98.4936,78.82,75,1,8.05,clear sky,0.0,0.0
99,Nanortalik,GL,60.1432,-45.2371,27.07,68,96,34.9,light snow,0.0,0.18
100,Oga,IT,46.4631,10.347,23.23,98,91,4.79,overcast clouds,0.0,0.0
101,Synya,RU,65.3718,58.0387,-1.39,97,99,3.42,overcast clouds,0.0,0.0
102,Tilichiki,RU,60.4667,166.1,-0.13,96,88,3.65,overcast clouds,0.0,0.0
103,Mopipi,BW,-21.1833,24.8833,76.64,54,100,9.98,overcast clouds,0.0,0.0
104,Korla,CN,41.7597,86.1469,30.16,53,100,2.15,overcast clouds,0.0,0.0
105,Hambantota,LK,6.1241,81.1185,77.05,89,9,7.05,clear sky,0.0,0.0
106,Butaritari,KI,3.0707,172.7902,80.82,83,100,11.97,moderate rain,1.16,0.0
107,Saldanha,ZA,-33.0117,17.9442,60.85,93,14,16.93,few clouds,0.0,0.0
108,Nome,US,64.5011,-165.4064,32.07,87,90,25.32,mist,0.0,0.0
109,Santiago De Chuco,PE,-8.15,-78.1833,53.49,86,100,3.87,light rain,0.89,0.0
110,Mar Del Plata,AR,-38.0023,-57.5575,63.88,78,0,15.99,clear sky,0.0,0.0
111,Manthani,IN,18.65,79.6667,64.9,84,4,5.48,clear sky,0.0,0.0
112,Kaitangata,NZ,-46.2817,169.8464,53.92,55,92,8.08,overcast clouds,0.0,0.0
113,Carnarvon,AU,-24.8667,113.6333,77.07,69,0,17.27,clear sky,0.0,0.0
114,Zhezkazgan,KZ,47.8043,67.7144,31.6,93,100,6.96,overcast clouds,0.0,0.0
115,Chuy,UY,-33.6971,-53.4616,65.3,82,98,7.87,overcast clouds,0.0,0.0
116,Saint-Philippe,RE,-21.3585,55.7679,76.55,79,37,10.47,scattered clouds,0.0,0.0
117,Aranos,NA,-24.1333,19.1167,69.82,20,0,4.61,clear sky,0.0,0.0
118,Hobyo,SO,5.3505,48.5268,78.42,77,16,15.64,few clouds,0.0,0.0
119,Ballina,AU,-28.8667,153.5667,68.18,97,72,7.92,light rain,0.12,0.0
120,Morden,CA,49.1919,-98.1014,14.38,85,100,16.11,overcast clouds,0.0,0.0
121,Torbay,CA,47.6666,-52.7314,32.76,77,25,11.99,scattered clouds,0.0,0.0
122,Kathmandu,NP,27.7167,85.3167,53.82,94,20,2.3,few clouds,0.0,0.0
123,Esperance,AU,-33.8667,121.9,62.96,65,88,11.92,overcast clouds,0.0,0.0
124,Cascais,PT,38.6979,-9.4215,56.52,71,8,1.01,clear sky,0.0,0.0
125,Acapulco,MX,16.8634,-99.8901,84.02,74,1,5.75,clear sky,0.0,0.0
126,Danjiangkou,CN,32.5428,111.5086,46.29,63,0,4.76,clear sky,0.0,0.0
127,Malhador,BR,-10.6578,-37.3047,75.85,88,76,9.53,broken clouds,0.0,0.0
128,Rajapur,IN,25.3833,81.15,64.13,68,1,4.88,clear sky,0.0,0.0
129,Beyla,GN,8.6833,-8.6333,72.25,29,53,2.53,broken clouds,0.0,0.0
130,Constitucion,CL,-35.3333,-72.4167,63.73,68,5,4.94,clear sky,0.0,0.0
131,Meulaboh,ID,4.1363,96.1285,75.85,87,93,3.69,overcast clouds,0.0,0.0
132,Ponta Do Sol,PT,32.6667,-17.1,65.03,70,27,9.31,scattered clouds,0.0,0.0
133,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,1,8.05,clear sky,0.0,0.0
134,Kodinsk,RU,58.6881,99.1844,22.68,97,100,2.08,light snow,0.0,0.3
135,Bengkulu,ID,-3.8004,102.2655,74.98,88,94,6.49,overcast clouds,0.0,0.0
136,Guerrero Negro,MX,27.9769,-114.0611,67.44,69,0,16.22,clear sky,0.0,0.0
137,Victoria,HK,22.2855,114.1577,64.33,57,34,1.01,scattered clouds,0.0,0.0
138,Chalchihuites,MX,23.4833,-103.8833,64.31,26,100,16.04,overcast clouds,0.0,0.0
139,Port Hedland,AU,-20.3167,118.5667,91.45,27,98,13.8,overcast clouds,0.0,0.0
140,Barrow,US,71.2906,-156.7887,12.22,79,90,21.85,haze,0.0,0.0
141,Provideniya,RU,64.3833,-173.3,28.51,93,90,20.13,snow,0.0,1.41
142,Mehamn,NO,71.0357,27.8492,28.35,74,90,25.32,light shower snow,0.0,0.14
143,Warrington,GB,53.3925,-2.5802,39.36,93,75,2.3,broken clouds,0.0,0.0
144,Half Moon Bay,US,37.4636,-122.4286,68.5,75,1,1.99,clear sky,0.0,0.0
145,Salalah,OM,17.0151,54.0924,71.31,41,0,7.54,clear sky,0.0,0.0
146,Luderitz,NA,-26.6481,15.1594,60.75,88,0,10.04,clear sky,0.0,0.0
147,Georgetown,MY,5.4112,100.3354,77.9,77,20,9.22,few clouds,0.0,0.0
148,Mujiayingzi,CN,42.1167,118.7833,27.57,49,54,4.54,broken clouds,0.0,0.0
149,Khatanga,RU,71.9667,102.5,-22.14,100,97,6.8,overcast clouds,0.0,0.0
150,Savannah Bight,HN,16.45,-85.85,79.0,72,1,4.27,clear sky,0.0,0.0
151,Arman,RU,59.7,150.1667,-14.35,92,26,6.29,scattered clouds,0.0,0.0
152,Dronfield,GB,53.3022,-1.4751,39.16,93,85,4.12,overcast clouds,0.0,0.0
153,Dunedin,NZ,-45.8742,170.5036,54.81,66,97,3.0,overcast clouds,0.0,0.0
154,Airai,TL,-8.9266,125.4092,65.5,85,99,1.07,overcast clouds,0.0,0.0
155,Klaksvik,FO,62.2266,-6.589,38.32,64,50,19.48,scattered clouds,0.0,0.0
156,Panzhihua,CN,26.5851,101.7128,48.67,94,24,1.05,few clouds,0.0,0.0
157,Udachnyy,RU,66.4167,112.4,-28.19,99,100,6.87,overcast clouds,0.0,0.0
158,Wajima,JP,37.4,136.9,45.28,93,75,4.61,broken clouds,0.0,0.0
159,Syracuse,IT,37.0881,15.2792,52.32,72,46,11.39,scattered clouds,0.0,0.0
160,Tasiilaq,GL,65.6145,-37.6368,29.86,92,99,24.56,light snow,0.0,0.47
